(76, 34), (61, 32), 
(70, 32), (63, 30), 
(75, 34), (63, 32), 
(69, 30), (63, 28), 
(74, 31), (65, 29), 
(69, 30), (64, 29), 
(73, 32), (67, 31), 
(68, 32), (64, 32), 
(73, 34), (69, 34), 
(67, 32), (65, 31), 
(72, 32), (70, 33), 
(67, 30), (66, 30), 
(73, 33), (69, 32), 
(65, 30), (66, 30), 
(68, 30), (65, 29), 
(64, 31), (66, 31), 
(70, 33), (63, 32), 
(64, 34), (67, 33), 
(70, 33), (63, 32), 
(60, 30), (65, 30), 
(69, 31), (62, 29), 
(60, 30), (60, 28), 
(69, 31), (64, 29), 
(64, 32), (59, 30), 
(69, 33), (65, 31), 
(65, 31), (59, 29), 
(71, 33), (62, 30), 
(65, 32), (61, 30), 
(73, 34), (61, 31), 
(65, 32), (62, 30), 
(71, 34), (58, 31), 
(64, 29), (60, 28), 
(69, 31), (55, 27), 
(65, 32), (59, 30), 
(68, 34), (53, 30), 
(65, 31), (55, 28), 
(67, 31), (50, 28), 
(65, 32), (52, 29), 
(69, 34), (52, 30), 
(64, 31), (51, 28), 
(69, 32), (52, 28), 
(64, 32), (52, 29), 
(69, 34), (55, 31), 
(62, 32), (54, 30), 
(63, 32), (63, 31), 
(59, 31), (54, 30), 
(58, 31), (68, 33), 
(57, 31), (57, 31), 
(59, 31), (66, 32), 
(56, 28), (60, 29), 
(63, 30), (57, 29), 
(52, 27), (63, 29), 
(64, 30), (55, 28), 
(52, 29), (64, 31), 
(65, 32), (49, 27), 
(51, 26), (59, 27), 
(63, 30), (45, 24), 
(54, 28), (54, 28), 
(63, 31), (40, 25), 
(55, 29), (47, 26), 
(59, 30), (35, 24), 
(56, 29), (42, 24), 
(53, 27), (43, 25), 
(56, 28), (41, 24), 
(53, 26), (44, 25), 
(55, 28), (38, 24), 
(52, 26), (47, 26), 
(55, 30), (36, 24), 
(52, 27), (49, 28), 
(54, 30), (33, 23), 
(52, 27), (53, 29), 
(50, 26), (35, 22), 
(55, 27), (51, 27), 
(46, 24), (44, 24), 
(57, 28), (47, 27), 
(46, 24), (45, 24), 
(56, 28), (46, 25), 
(46, 23), (48, 24), 
(53, 26), (47, 26), 
(47, 26), (50, 28), 
(45, 24), (45, 27), 
(52, 27), (44, 26), 
(36, 20), (40, 25), 
(50, 26), (41, 24), 
(27, 14), (35, 21), 
(50, 27), (39, 25), 
(26, 15), (32, 21), 
(50, 27), (39, 24), 
(25, 15), (31, 20), 
(50, 27), (38, 23), 
(26, 14), (31, 19), 
(50, 27), (36, 24), 
(28, 16), (30, 20), 
(47, 27), (33, 21), 
(35, 22), (27, 18), 
(41, 25), (31, 18), 
(34, 23), (28, 19), 
(38, 23), (26, 15), 
(32, 23), (30, 20), 
(37, 23), (26, 16), 
(32, 22), (33, 19), 
(36, 22), (27, 16), 
(32, 21), (34, 21), 
(37, 21), (27, 17), 
(32, 21), (40, 23), 
(37, 21), (28, 18), 
(32, 21), (44, 25), 
(32, 19), (33, 21), 
(32, 21), (51, 28), 
(27, 17), (42, 25), 
(38, 24), (54, 29), 
(27, 15), (47, 25), 
(43, 25), (54, 29), 
(28, 17), (49, 26), 
